is-country	+/is-country-locate,is-state,is-state-locate,is-locate-in-continent,belong-to-continent,part-of-continent
is-country-locate	+/is-country,is-state,is-state-locate,is-locate-in-continent,belong-to-continent,is-country-locate-in-continent,is-state-locate-in-continent,part-of-continent
is-state	+/is-country,is-country-locate,is-state-locate,is-locate-in-continent,belong-to-continent,part-of-continent
is-state-locate	+/is-country,is-country-locate,is-state,is-locate-in-continent,belong-to-continent,part-of-continent
is-locate-in-continent	*/
is-mountain-in-continent	+/is-mountain-located-in-continent,is-locate-in-continent,belong-to-continent,part-of-continent
is-mountain-located-in-continent	+/is-mountain-in-continent,is-locate-in-continent,belong-to-continent,part-of-continent
is-river-in-continent	+/is-locate-in-continent,is-river-located-in-continent,belong-to-continent,part-of-continent
is-river-located-in-continent	+/is-locate-in-continent,is-river-in-continent,belong-to-continent,part-of-continent
belong-to-continent	*/
is-country-locate-in-continent	+/is-country,is-state,is-state-locate,is-locate-in-continent,belong-to-continent,is-country-locate,is-state-locate-in-continent,part-of-continent
is-state-locate-in-continent	+/is-country,is-state,is-state-locate,is-locate-in-continent,belong-to-continent,is-country-locate,is-country-locate-in-continent,part-of-continent
is-lake-located-in-continent	+/is-lake-in-continent,belong-to-continent,part-of-continent
is-lake-in-continent	+/is-lake-located-in-continent,belong-to-continent,part-of-continent
part-of-continent	+/belong-to-continent
