LEMMA	NOT-ENTAILED
located-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
road-in	EXTENDED-LEMMA,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
island-in	EXTENDED-LEMMA,road-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
province-in	EXTENDED-LEMMA,road-in,island-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,municipality,county,district,school
city-in	EXTENDED-LEMMA,road-in,island-in,province-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
municipality-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,county,district,school
county-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,district,school
district-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,school
school-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district
church-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
highway-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
freeway-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
museum-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
hotel-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-river-in,that-bridge-in,province,municipality,county,district,school
river-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-bridge-in,province,municipality,county,district,school
bridge-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,province,municipality,county,district,school
that-road-in	EXTENDED-LEMMA,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-island-in	EXTENDED-LEMMA,road-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-province-in	EXTENDED-LEMMA,road-in,island-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,municipality,county,district,school
that-city-in	EXTENDED-LEMMA,road-in,island-in,province-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-municipality-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,county,district,school
that-county-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,district,school
that-district-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,school
that-school-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district
that-church-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-highway-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-freeway-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-museum-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-hotel-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-river-in,that-bridge-in,province,municipality,county,district,school
that-river-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-bridge-in,province,municipality,county,district,school
that-bridge-in	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,province,municipality,county,district,school
province	EXTENDED-LEMMA,road-in,island-in,city-in,municipality-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,municipality,county,district,school
municipality	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,county-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-county-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,county,district,school
county	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,district-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-district-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,district,school
district	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,school-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-school-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,school
school	EXTENDED-LEMMA,road-in,island-in,province-in,city-in,municipality-in,county-in,district-in,church-in,highway-in,freeway-in,museum-in,hotel-in,river-in,bridge-in,that-road-in,that-island-in,that-province-in,that-city-in,that-municipality-in,that-county-in,that-district-in,that-church-in,that-highway-in,that-freeway-in,that-museum-in,that-hotel-in,that-river-in,that-bridge-in,province,municipality,county,district
